Tweet ID,URL,Content,Author ID,Author Username,Author Blue Verified (T/F),Followers,Author Location,Likes,Views,Date
1976271332234154044,https://x.com/rymondIncKenya/status/1976271332234154044,"🛒 Costco shares up +1% in premarket after strong Sept sales! Net sales jumped notably YoY for the 5 weeks ended Oct 5. Big-box giant crushes expectations amid retail resilience.
 #Costco #Earnings #StockMarket https://t.co/zl1iNBzYz1",952145710455156737,rymondIncKenya,False,766,,0,16,"October 9, 2025 at 12:59 PM"
1976089967681208738,https://x.com/raoolgarcia00/status/1976089967681208738,"@FerCevallosF REDUCIR EL NUMERO DE EXTRANJEROS?

y si tambien corremos de mexico a 
WAL MART?
COSTCO?
HEB?
SAMS?

para que asi COMERCIAL  MEXICANA tenga mas posibilidades de exito

igual reducir las empresas de autos PORCHE, KIA, FORD, FERRARI
para que un mexicanito triunfe

asi sin competir",1439391228215365641,raoolgarcia00,False,14,,0,26,"October 9, 2025 at 12:58 AM"
1976089874685219217,https://x.com/49erCarlos/status/1976089874685219217,@_GamerBabeJess How much ketchup are you buying from Costco?,57081916,49erCarlos,False,7248,,0,223,"October 9, 2025 at 12:58 AM"
1976089850903396737,https://x.com/sjaime7777/status/1976089850903396737,And it’s not my Costco card this time,722687564,sjaime7777,False,744,Por ahí,2,32,"October 9, 2025 at 12:58 AM"
1976270899088326759,https://x.com/hita_papa/status/1976270899088326759,"【コストコ】「カークランドシグネチャー 有塩ミックスナッツ 1.13kg」を徹底レビュー！栄養満点でコスパ最強
https://t.co/d1x2NdSvBq
#コストコ",1829085129429659648,hita_papa,True,2714,福岡県,12,182,"October 9, 2025 at 12:57 PM"
1976270738798923910,https://x.com/grok/status/1976270738798923910,"@ClevelandK45109 @BitFinanzas @hout1213 Costco's latest sales report looks solid indeed—net sales hit $26.58B for the 5 weeks to Oct 5, up 8% YoY. Comparable sales rose 5.7%, driven by strong US and international demand. This reinforces their resilience in retail. What aspect are you focusing on?",1720665183188922368,grok,True,6417413,wherever you are,0,5,"October 9, 2025 at 12:57 PM"
1976089655411102034,https://x.com/mikest1r000/status/1976089655411102034,"@EricLDaugh What about the rest of us? Just left Costco with 4 rib eyes, for 110 dollars!!!!",809862725027373056,mikest1r000,False,2187,"Wisconsin, USA",0,7,"October 9, 2025 at 12:57 AM"
1976089501085901010,https://x.com/tantalisers/status/1976089501085901010,"@Coalminecancary @BillSimmons Even the NBA breakdowns are miles better by YouTube casters. They need to fill dead airtime between live events and the leagues probably like the narratives being pushed so it’s like the chicken at Costco, price of doing business so you can win. They don’t care that we don’t care 😂",1516292987747143681,tantalisers,True,325,,0,26,"October 9, 2025 at 12:57 AM"
1976270667126538648,https://x.com/M_N_amagasaki/status/1976270667126538648,@yukihiro_costco FBA,707485297794101248,M_N_amagasaki,False,155,,0,16,"October 9, 2025 at 12:56 PM"
1976089372115206501,https://x.com/TechProDee/status/1976089372115206501,"@StonerDadYYC I tackled Costco yesterday, ended up with 3lbs of salted caramel chocolates, I can't go in there when I'm hungry 😂🤣",882580854735859712,TechProDee,False,2432,"New York, NY",1,18,"October 9, 2025 at 12:56 AM"
1976270169346605156,https://x.com/BitFinanzas/status/1976270169346605156,"🛒 Costco sube tras reporte de sólidas ventas mensuales

Las acciones de Costco $COST avanzaron más de 1 % en el premarket luego de que el minorista reportara un aumento en sus ventas netas de septiembre y comienzos de octubre frente al año anterior.

🗨️ Lo que dijo la empresa:

• Ventas netas por 26.580 millones USD al 5 de octubre.
• Un alza del 8 % respecto a los 24.620 millones del año previo.
• Crecimiento impulsado por fuerte demanda en EE. UU. y Canadá.

📉 Contexto o Perspectiva:

• Costco mantiene su ritmo de expansión pese al consumo moderado.
• El desempeño refuerza su posición entre los minoristas más resilientes.
• La acción consolida su tendencia alcista en 2024.

📌 Lo que está en juego:

El sólido crecimiento de ventas confirma la fortaleza del modelo de membresías de Costco y su capacidad para sostener márgenes en un entorno económico desafiante.

#Costco #COST #Ventas #Retail #Consumo #Mercados #Acciones #EEUU",1293938234402250754,BitFinanzas,True,50727,,4,275,"October 9, 2025 at 12:55 PM"
