rob_label,term,count
negative,no one,24
negative,liberal medium,20
negative,street gang,18
negative,avoid lorex,17
negative,lorex star,14
negative,no idea,13
negative,lorex camera,13
negative,no longer,12
negative,charlie kirk,12
negative,not even,12
negative,medium liberal,12
negative,gang member,12
negative,los angeles,11
negative,drug cartel,11
negative,entertainment industry,11
negative,anyone else,10
negative,every day,10
negative,pam bondi,10
negative,president trump,10
negative,chinese lorex,10
neutral,white house,20
neutral,president trump,18
neutral,price target,17
neutral,new york,14
neutral,charlie kirk,13
neutral,donald trump,11
neutral,wall street,11
neutral,pt increase,11
neutral,los angeles,10
neutral,long term,10
neutral,costco costcoinsider,10
neutral,social medium,9
neutral,use ai,9
neutral,ask question,9
neutral,no secret,9
neutral,every single,9
neutral,still get,9
neutral,get fix,9
neutral,per adr,9
neutral,record high,8
positive,since buy,41
positive,buy signal,41
positive,stock explode,39
positive,explode guide,39
positive,guide live,39
positive,live trade,39
positive,guide trade,39
positive,trade eight,39
positive,eight analyst,39
positive,analyst team,39
positive,good morning,35
positive,prime day,32
positive,next week,30
positive,costco costcoinsider,26
positive,pre market,25
positive,investor confidence,22
positive,market guidance,21
positive,week fuel,19
positive,intraday guidance,17
positive,costcocoupons costcocouponbook,17
