rob_label,term,count
negative,not,469
negative,get,396
negative,go,249
negative,no,237
negative,want,190
negative,one,188
negative,know,182
negative,make,160
negative,would,144
negative,need,141
negative,even,136
negative,bad,134
negative,see,125
negative,trump,122
negative,never,116
negative,fuck,113
negative,use,110
negative,work,110
negative,thing,110
negative,take,108
neutral,get,251
neutral,not,241
neutral,go,197
neutral,one,196
neutral,no,186
neutral,make,155
neutral,new,138
neutral,see,132
neutral,know,128
neutral,need,126
neutral,day,116
neutral,take,115
neutral,back,108
neutral,want,105
neutral,ai,104
neutral,would,102
neutral,trump,99
neutral,use,91
neutral,work,89
neutral,call,86
positive,get,190
positive,good,179
positive,day,171
positive,stock,167
positive,love,158
positive,make,151
positive,new,146
positive,go,136
positive,one,130
positive,see,114
positive,costco,112
positive,market,109
positive,best,106
positive,ai,101
positive,deal,97
positive,trade,95
positive,buy,95
positive,not,93
positive,win,93
positive,happy,90
