rob_label,term,count
negative,go costco,249
negative,costco membership,74
negative,parking lot,67
negative,costco not,58
negative,hot dog,57
negative,sam club,55
negative,shop costco,54
negative,get costco,53
negative,costco get,52
negative,costco sam,50
negative,no one,49
negative,costco parking,48
negative,buy costco,46
negative,walmart costco,45
negative,local costco,42
negative,costco sell,42
negative,costco hotdog,41
negative,costco walmart,40
negative,costco buy,35
negative,grocery store,33
neutral,go costco,342
neutral,get costco,133
neutral,sam club,130
neutral,hot dog,125
neutral,costco membership,125
neutral,sam's club,123
neutral,costco sell,109
neutral,buy costco,108
neutral,costco hotdog,97
neutral,shop costco,97
neutral,costco sam,97
neutral,costco get,94
neutral,parking lot,88
neutral,walmart costco,88
neutral,costco sam's,85
neutral,gold bar,74
neutral,costco hot,73
neutral,local costco,66
neutral,rotisserie chicken,66
neutral,club costco,64
positive,go costco,154
positive,get costco,84
positive,hot dog,69
positive,costco get,66
positive,costco membership,65
positive,love costco,52
positive,costco gold,44
positive,costco run,44
positive,costco hotdog,43
positive,buy costco,41
positive,gold bar,41
positive,costco hot,39
positive,sam club,39
positive,costco sell,37
positive,costco love,36
positive,costco one,35
positive,pumpkin pie,35
positive,costco pizza,33
positive,one costco,32
positive,costco best,32
