rob_label,term,count
negative,costco,3569
negative,go,725
negative,not,681
negative,get,670
negative,buy,459
negative,no,380
negative,one,307
negative,price,257
negative,sell,223
negative,store,222
negative,make,213
negative,see,206
negative,even,205
negative,good,197
negative,need,196
negative,shop,188
negative,food,180
negative,would,180
negative,know,173
negative,take,173
neutral,costco,6799
neutral,get,933
neutral,go,834
neutral,buy,694
neutral,not,589
neutral,store,417
neutral,sell,394
neutral,one,394
neutral,price,372
neutral,need,333
neutral,club,309
neutral,no,308
neutral,make,305
neutral,walmart,302
neutral,membership,291
neutral,see,286
neutral,shop,285
neutral,food,267
neutral,know,259
neutral,day,243
positive,costco,3379
positive,get,671
positive,good,453
positive,go,412
positive,buy,333
positive,one,308
positive,love,256
positive,make,223
positive,not,195
positive,sale,187
positive,great,176
positive,best,169
positive,price,169
positive,membership,164
positive,day,161
positive,new,157
positive,store,147
positive,gold,147
positive,need,144
positive,cost,133
