term,sentiment,agg,iwdf,agg_norm,iwdf_norm,fused_score
not,negative,1576.9062299634536,1450.9597972175313,0.9999999999999994,0.9999999999999993,0.9999999999999993
get,negative,1309.8760686664416,1223.2796607902058,0.8306619910410263,0.8430830841323497,0.836872537586688
go,negative,919.4097607706648,865.0427062759004,0.5830465650401879,0.5961865435105578,0.5896165542753729
no,negative,929.2295886135394,854.2472450021568,0.5892738394692465,0.5887463227033061,0.5890100810862763
want,negative,781.9767524865626,722.2294587630556,0.4958929945407631,0.49775980020125726,0.4968263973710102
know,negative,736.9847819835502,682.3239161076608,0.4673611962333551,0.4702569412440893,0.4688090687387222
one,negative,724.3147673788302,691.1867024008205,0.4593264669869536,0.4763651644423858,0.4678458157146697
bad,negative,649.8530074920016,618.9626861557903,0.41210630990218244,0.4265884467252358,0.41934737831370916
even,negative,625.606737493182,612.7365373925851,0.3967304622213844,0.4222973914009292,0.40951392681115684
make,negative,615.8023892843707,574.7000481251968,0.3905130042505078,0.39608268211654385,0.3932978431835258
would,negative,618.1743764980804,555.3430120289886,0.39201720733413986,0.3827418327468172,0.38737952004047854
need,negative,599.0780116417442,571.8462371169873,0.37990718804860585,0.3941158385046932,0.3870115132766495
fuck,negative,582.1457848933833,554.3868669205482,0.36916956368856174,0.38208285852142937,0.37562621110499556
never,negative,546.5824005058546,524.6143054921719,0.34661693264952215,0.361563639804639,0.3540902862270806
trump,negative,532.252384494482,464.5193935885252,0.3375295083378656,0.3201462883253705,0.32883789833161803
see,negative,515.6922349664735,477.2919129243456,0.32702783790664897,0.32894909551569645,0.3279884667111727
thing,negative,499.98947285847083,471.90791939775687,0.31706988237979017,0.32523845271434976,0.32115416754706994
still,negative,477.47980738982875,467.6569261821779,0.3027953078737564,0.3223086725621147,0.31255199021793556
work,negative,485.8685611095993,457.07390284586506,0.3081150621878509,0.31501486376285803,0.31156496297535446
take,negative,476.4766664383774,464.10388567519715,0.30215916291320627,0.31985992069883473,0.3110095418060205
get,neutral,810.9224749970786,749.8635208798719,0.9999999999999988,0.9999999999999987,0.9999999999999987
not,neutral,773.1773273513081,695.4722142380867,0.9534540615045756,0.927465058470954,0.9404595599877648
one,neutral,720.101686271563,647.9875335007692,0.8880031180220481,0.8641406275377089,0.8760718727798785
go,neutral,689.7321199213505,627.7301054391489,0.8505524771943638,0.8371258075103915,0.8438391423523777
make,neutral,605.342487973323,574.7000481251968,0.7464862630370469,0.7664061954245444,0.7564462292307956
no,neutral,614.1289437992302,538.0114860350122,0.7573213996830486,0.7174792092882738,0.7374003044856612
new,neutral,577.4537681247203,547.7897878891788,0.7120949115719107,0.7305193180305859,0.7213071148012483
see,neutral,527.3960791252563,485.8149827979946,0.6503655964488536,0.6478712049199971,0.6491184006844253
know,neutral,522.5787087637751,486.15579022670835,0.6444249911382184,0.6483256975299507,0.6463753443340845
need,neutral,507.4730594032854,471.44575273766884,0.6257972556564214,0.6287087444719074,0.6272530000641644
trump,neutral,490.47632214677185,459.9201916718071,0.6048374996001168,0.613338532766799,0.6090880161834579
take,neutral,489.0015026622353,459.64134831293563,0.6030188060381436,0.6129666739536854,0.6079927399959145
back,neutral,478.4747226820258,455.8212572184873,0.5900375651615143,0.6078722921254216,0.5989549286434679
day,neutral,466.62160274808775,432.5671826218716,0.5754207302612598,0.5768612161774546,0.5761409732193572
want,neutral,431.83874930420234,401.71342676761674,0.5325277848610097,0.5357153876431477,0.5341215862520787
would,neutral,430.7168509588417,383.77362619889453,0.5311443007673364,0.5117913000336157,0.521467800400476
break,neutral,410.29716899691954,401.19780239595184,0.5059634942272344,0.5350277633524503,0.5204956287898423
use,neutral,407.4305823050795,377.78557276035787,0.5024285241404202,0.5038057756391093,0.5031171498897647
first,neutral,381.84473332262576,366.70938069980014,0.470876988979743,0.4890348316577817,0.4799559103187624
come,neutral,372.2209393229058,363.38207839376486,0.4590092774580533,0.48459762113428395,0.47180344929616863
good,positive,757.3956764014958,736.6161199656552,0.9999999999999987,0.9999999999999986,0.9999999999999987
stock,positive,751.7884726895105,694.9388931023867,0.9925967312902721,0.943420696705344,0.9680087139978081
love,positive,736.0808973720958,706.3093629673948,0.9718578020795275,0.9588567828251241,0.9653572924523258
