term,sentiment,agg,iwdf,agg_norm,iwdf_norm,fused_score
not,negative,2168.9992449089923,1957.4533228777213,0.9999999999999996,0.9987207889445607,0.9993603944722802
go,negative,2130.7006729381173,1959.9605260508692,0.9823427453648179,0.9999999999999996,0.9911713726824087
get,negative,1877.1518293097001,1715.737164924732,0.8654460501614705,0.8753937347818813,0.870419892471676
buy,negative,1470.9519259344383,1344.9375846786343,0.6781707874666211,0.68620646528456,0.6821886263755905
no,negative,1433.1032610165064,1315.5593641299135,0.6607209589308255,0.6712172753706616,0.6659691171507436
one,negative,1112.535245669975,1052.7897326872223,0.5129256030315744,0.5371484367639237,0.525037019897749
go costco,negative,976.7614483451398,974.0390595231057,0.45032816430792383,0.4969687126738719,0.4736484384908979
price,negative,971.9976346531613,868.8442531375998,0.4481318455663844,0.4432968121497,0.4457143288580422
even,negative,886.4206946960004,857.2147731128694,0.40867727214593513,0.4373632844739347,0.42302027830993494
sell,negative,876.1611683470346,821.2420749755303,0.4039471984158282,0.4190094974158756,0.4114783479158519
store,negative,857.427138344615,807.3386090660821,0.3953100215950471,0.41191574949358334,0.4036128855443152
make,negative,841.4898627361544,816.4013090888451,0.387962266336087,0.4165396691604878,0.4022509677482874
see,negative,841.347246685783,797.9123739871113,0.38789651433054523,0.4071063490216444,0.3975014316760948
bad,negative,813.1316008065343,800.3823985972573,0.3748879132692606,0.40836659104045836,0.3916272521548595
need,negative,784.1423229433087,755.823567546259,0.36152263528160417,0.38563203569674437,0.37357733548917427
shop,negative,778.6076414600533,731.4449437402081,0.35897091402294246,0.37319371182132866,0.36608231292213556
take,negative,761.7110696165445,738.1896827044409,0.3511808827985573,0.3766349744766653,0.3639079286376113
would,negative,767.6545668250541,729.7623877533698,0.3539210853239662,0.3723352475999963,0.36312816646198126
good,negative,756.0547184937171,735.5924234565645,0.3485730667118972,0.375309815518944,0.3619414411154206
never,negative,751.215140169114,720.8712000561864,0.34634181728386604,0.3677988359840449,0.35707032663395544
get,neutral,2646.738221096341,2467.841127631464,0.9999999999999997,0.9999999999999997,0.9999999999999997
go,neutral,2481.8242578940008,2342.7653162951797,0.937691622885912,0.9493177214951726,0.9435046721905422
buy,neutral,2247.3637363593625,2101.04677407508,0.8491069190168913,0.8513703538491477,0.8502386364330194
not,neutral,1921.753385946287,1802.4742301886074,0.7260836642734736,0.7303850357330538,0.7282343500032638
store,neutral,1610.6231217326651,1503.320168605808,0.6085313269347457,0.6091640793946224,0.608847703164684
sam,neutral,1540.3458358001405,1508.8273866519044,0.5819789140922643,0.6113956728243752,0.5966872934583198
sell,neutral,1524.9112109152054,1424.0256669526436,0.5761473495038549,0.5770329584868238,0.5765901539953393
one,neutral,1415.1885136437415,1331.797612374649,0.5346915317743577,0.5396610006466886,0.5371762662105232
price,neutral,1422.6020683143884,1307.2519038033613,0.5374925472323866,0.5297147734376277,0.5336036603350072
go costco,neutral,1343.2312836971905,1343.2312836971862,0.5075043965401279,0.544294066849581,0.5258992316948545
need,neutral,1340.4239054577874,1295.1138968225087,0.5064437029599973,0.5247963016426049,0.5156200023013011
club,neutral,1338.5974943458825,1293.803853176115,0.5057536418510644,0.5242654556202554,0.5150095487356599
walmart,neutral,1290.0959021641154,1244.653137509694,0.48742859867332367,0.5043489727007923,0.49588878568705796
shop,neutral,1184.8285534623683,1135.4406975502068,0.44765611650538834,0.46009473010118657,0.45387542330328745
membership,neutral,1184.1466078891287,1110.7369312551186,0.44739846141588835,0.45008445593139107,0.4487414586736397
see,neutral,1168.89013044481,1123.761406295984,0.4416342051238554,0.45536213563898464,0.44849817038142004
sam club,neutral,1151.8272083298273,1129.5483355308186,0.43518743151436906,0.457707071530538,0.44644725152245357
no,neutral,1176.5509070356811,1098.2747844688167,0.4445286268425616,0.44503463864503173,0.4447816327437967
make,neutral,1151.0184786467887,1069.7672325991762,0.43488187440388776,0.43348302312551856,0.43418244876470313
know,neutral,1096.400762951021,1060.682115916937,0.4142460157985952,0.4298016205504027,0.42202381817449897
get,positive,1870.4308341842932,1709.8613527160858,0.9999999999999996,0.9999999999999994,0.9999999999999996
good,positive,1721.3614728237249,1630.7578064989445,0.9203021257797115,0.9537368652192253,0.9370194954994684
love,positive,1206.1400280782582,1167.0098184484868,0.6448460996443437,0.6825172208230281,0.6636816602336859
go,positive,1212.3305080838936,1120.852425835341,0.64815575423969,0.6555224048165573,0.6518390795281237
one,positive,1102.404157512451,1026.7489972497292,0.5893851498621258,0.6004866977189439,0.5949359237905348
buy,positive,1077.1869777106665,1017.0672282146885,0.5759031331305197,0.5948243853801911,0.5853637592553553
make,positive,879.5580360491348,840.53139704221,0.47024355029557413,0.4915786860186293,0.48091111815710175
great,positive,863.675231030636,832.5742233671353,0.4617520280600431,0.4869249907570604,0.47433850940855177
best,positive,835.8433221272006,816.4528131958942,0.4468720825444031,0.47749650104610664,0.4621842917952549
sale,positive,794.476255566018,665.3318732950311,0.4247557520150131,0.38911451635430105,0.4069351341846571
new,positive,709.8490168567475,694.0246346608797,0.379510968213009,0.4058952695541267,0.39270311888356785
day,positive,672.158599996554,643.8309353720034,0.35936030764253646,0.3765398488885011,0.3679500782655188
membership,positive,670.6767812901834,625.0534822272151,0.3585680737468539,0.36555799172507636,0.36206303273596513
price,positive,658.8779407133018,625.7272832229503,0.35225998666806746,0.36595205934621117,0.35910602300713934
not,positive,648.7060196089103,630.0237028883544,0.3468217096045761,0.3684647891991781,0.3576432494018771
go costco,positive,608.7744122019428,608.7744122019411,0.3254728274769021,0.3560372957929676,0.34075506163493485
cost,positive,592.368315025211,563.9942872008046,0.3167015343197902,0.32984796475159167,0.3232747495356909
well,positive,576.0826218403322,558.0789889552486,0.30799461349318763,0.3263884455127016,0.3171915295029446
need,positive,574.6048157261268,547.4613948713444,0.3072045248744605,0.3201788226874132,0.3136916737809369
also,positive,545.7675964754056,539.3767000835653,0.2917871040729598,0.31545054762877367,0.30361882585086675
