Tweet ID,Author Username,Original User Sentiment,include_match_count,exclude_match_count,topic_relevance_score,include_terms_matched,exclude_terms_matched,Content
1.9763099829593992e+18,QuinnChasan,Negative,1,0,1,['costco'],[],"Counterpoint: as chips go the way of COSTCO level cutthroat underpricing it will unlock more and more businesses who can't afford hundreds of thousands a month on cloud bills 

The race to the bottom on price and cost is a clear-eyed bet these companies are making"
1.976309712959439e+18,rascalgas,Positive,1,0,1,['costco'],[],It’s pumpkin pie season at Costco https://t.co/qnjFVeyuwA
1.976309489583448e+18,notreload_ai,Positive,1,0,1,['costco'],[],"$COST +2.7% [Costco's September 2025 sales jumped 8% to $26.58 billion with strong performance across US, Canada, and international markets. Digital sales surged 26% in the five-week period.] https://t.co/AYUYER0XSH https://t.co/m39FxW6FxS"
1.976309177371808e+18,seoul721,Negative,1,0,1,['costco'],[],Lol seriously did Costco and buy just black tanks to torture us …?? https://t.co/GPKvlAsBcR
1.976309395777782e+18,sluttrigger,Negative,1,0,1,['costco'],[],"Senator Rand Paul Has 'Six Penny Plan' to Balance Budget https://t.co/9UgHaGJBks via @YouTube @SenRandPaul I dunno about your Costco idea, the theory is sound but I can’t rate a corporation proofing negotiation on what is in essence becoming an essential utility… except &gt;"
1.9763088337326572e+18,AlanEinstoss,Negative,1,0,1,['costco'],[],Stopped olive garden.rubbery in chicken u could buy at Costco for $3.95 a dozen.nasty carpets 30 yrs old that smell and the weekend crowds fughets oboutit
1.9763066205368607e+18,E_G_Grandad,Negative,1,0,1,['costco'],[],This isnt getting the attention Costco did... https://t.co/iQFjEeu4vY
1.976305227562193e+18,PaulBergerKwK,Positive,1,0,1,['costco'],[],Just received the gift of Costco hotdog
1.9763036821666204e+18,onlywon_tiffa,Negative,1,0,1,['costco'],[],I know this man @ Costco tired of me asking him to use his Costco card so I can get gas😂
1.9763028466318828e+18,Sip_Magazine,Positive,1,0,1,['costco'],[],"You may have tried Straightaway on Alaska Airlines, spotted them at your favorite bar, or found their Tequila Edition pack and advent calendar at Costco. With doodle-clad cans and bold flavor, they are making their mark. Have a favorite yet? https://t.co/eJUIw1KLUs https://t.co/TZLdW7Twir"
1.9763008246628024e+18,neoshuas,Negative,1,0,1,['costco'],[],second time in costco in a week for my friends goddamn society meet and greet
1.9762996753899768e+18,Record_Journal,Negative,1,0,1,['costco'],[],"Shonda Rhimes talks living in CT, crying at Costco on 'Call Her Daddy': 'Nobody cares' https://t.co/TV2rYeSWJJ"
