Subject,Dataset,Tweet ID,URL,Content,Author ID,Author Username,Author Blue Verified (T/F),Followers,Author Location,Likes,Views,Date,Original User Sentiment,include_terms_matched,exclude_terms_matched,include_match_count,exclude_match_count,topic_relevance_score,domain_similarity
Costco,codomain,1.9763099829593992e+18,https://x.com/QuinnChasan/status/1976309982959399231,"Counterpoint: as chips go the way of COSTCO level cutthroat underpricing it will unlock more and more businesses who can't afford hundreds of thousands a month on cloud bills 

The race to the bottom on price and cost is a clear-eyed bet these companies are making",1626354394848727040,QuinnChasan,True,461,"Washington, DC",0,36,"October 9, 2025 at 03:33 PM",Negative,['costco'],[],1,0,1,0.06373835935546526
Costco,codomain,1.9763036821666204e+18,https://x.com/onlywon_tiffa/status/1976303682166620336,I know this man @ Costco tired of me asking him to use his Costco card so I can get gas😂,1614446394751729664,onlywon_tiffa,False,101,,0,8,"October 9, 2025 at 03:08 PM",Negative,['costco'],[],1,0,1,0.09984122060290945
Costco,codomain,1.9762993201786184e+18,https://x.com/S44_Toffee/status/1976299320178618368,"Went to Costco in Derby today and ran into this legend 

Honestly a genuinely lovely guy, very warm welcoming personality. I can confirm he’s asked me to join in this years Xmas number 1 where we are going to sing about sausage rolls and flags on lamp posts 😂😂😂😂 https://t.co/bUXUhmLOwt",3180703005,S44_Toffee,False,433,Derbyshire,0,20,"October 9, 2025 at 02:50 PM",Positive,['costco'],[],1,0,1,0.06432019180610817
Costco,codomain,1.97629803350451e+18,https://x.com/MsFemi/status/1976298033504510084,I haven’t gone to Costco in like 3 months! Coming from someone that treats Costco like it’s DisneyLand😞😞,1650499973832749059,MsFemi,False,168,"Houston, TX",0,11,"October 9, 2025 at 02:45 PM",Negative,['costco'],[],1,0,1,0.08645628230078416
Costco,codomain,1.9762975186075156e+18,https://x.com/AZNikki70s/status/1976297518607515692,https://t.co/FzYAvTfo9w. I hope they pulled her Costco membership.,1516266933556969476,AZNikki70s,False,221,,0,2,"October 9, 2025 at 02:43 PM",Negative,"['costco', 'costco membership']",[],2,0,2,0.06270093983897664
Costco,codomain,1.976295101069656e+18,https://x.com/sweatsXstew/status/1976295101069656106,Yes I have a Sam’s club card too but I moved close to a Costco so now I’m like should I try them out?! I hear good things,2636538720,sweatsXstew,True,31830,"Houston, TX",0,451,"October 9, 2025 at 02:34 PM",Positive,['costco'],[],1,0,1,0.10152096031722718
Costco,codomain,1.9762883103738964e+18,https://x.com/CVTSoftServe/status/1976288310373896339,"Good Morning Idaho 😊 In case you missed it, the next stop on our Costco Roadshow tour starts today at 2051 S. Cole Road in Boise...we're here all day everyday until Sunday night!

What’s a Roadshow? Glad you asked...

""It’s a temporary, in-store event at select Costco locations where brands can showcase and sell their products directly to members through pop-ups, demos, and samples""

It's basically a way to prove to the powers that be whether or not we’re a viable brand to eventually earn a permanent spot on @costco shelves.

Tell your family. Tell your friends. Come buy our ice cream and help us impress the suits...k, love you bye!",596035197,CVTSoftServe,True,3455,"Los Angeles, CA",2,53,"October 9, 2025 at 02:07 PM",Positive,['costco'],[],1,0,1,0.10106806324692369
Costco,codomain,1.9762815375084096e+18,https://x.com/pieroj2/status/1976281537508409825,What about this “new rules” in @Costco Miami regular membership is not allowed until 10 am… this is discrimination forcing to upgrade the memership to the most expensive one to be welcome at anytime cashiers are always stalking clients with this “OFFERS” @Telemundo @UniNoticias,83415363,pieroj2,False,197,venezuela,0,10,"October 9, 2025 at 01:40 PM",Negative,['costco'],[],1,0,1,0.058092579688090076
Costco,codomain,1.9762811994347397e+18,https://x.com/TastingTable/status/1976281199434739781,"It's officially fall at your local Costco warehouse, which means you have a selection of new seasonal items to add to your next shopping list.
https://t.co/6m0Mwo4AcL",21731244,TastingTable,False,103635,Nationwide,0,212,"October 9, 2025 at 01:38 PM",Positive,['costco'],[],1,0,1,0.0538517395487246
Costco,codomain,1.976277760537686e+18,https://x.com/humberwire/status/1976277760537686082,"GPlay Review-Lorex[1-Star]: {Veener- June 11, 2025- I bought the 8 camera NVR system from Costco 3 years ago and ever since I hardly ever see all 8 cameras online. Even though the sensor light...ll NEVER buy Lorex again.}👎(Conclusion=&gt;Lorex Sucks Rated)#2556765 https://t.co/wKfXJi98Hf",1958873548740861953,humberwire,False,17,,0,2,"October 9, 2025 at 01:25 PM",Negative,['costco'],[],1,0,1,0.06368532481882588
