Subject,Dataset,Tweet ID,URL,Content,Author ID,Author Username,Author Blue Verified (T/F),Followers,Author Location,Likes,Views,Date
Keir Starmer (UK PM),domain,1979330810101805131,https://x.com/dbg1965/status/1979330810101805131,@Keir_Starmer,93472979,,False,0,Spain,0,3,"October 17, 2025 at 11:36 PM"
Keir Starmer (UK PM),domain,1979329601957724321,https://x.com/Choch66/status/1979329601957724321,@Keir_Starmer,1527204879105769474,,False,0,Never you mind,0,0,"October 17, 2025 at 11:32 PM"
Keir Starmer (UK PM),domain,1979327429585096762,https://x.com/mark_knight23/status/1979327429585096762,@Keir_Starmer,2911867809,,False,0,London UK,0,3,"October 17, 2025 at 11:23 PM"
Keir Starmer (UK PM),domain,1979325588692419008,https://x.com/phsm444/status/1979325588692419008,@Keir_Starmer 🤡,1466099572422361094,,False,0,,0,1,"October 17, 2025 at 11:16 PM"
Keir Starmer (UK PM),domain,1979322422269743535,https://x.com/FjRoebersen/status/1979322422269743535,@EmmanuelMacron @Bundeskanzler @_FriedrichMerz @AussenMinDE @Keir_Starmer @DefenceHQ @prezidentpavel @JanLipavsky @Nawrockikn @donaldtusk @PolandMFA @sikorskiradek  @GiorgiaMeloni @SwedishPM @MariaStenergard @PUonson @alexstubb @PetteriOrpo @elinavaltonen @Statsmin @MinPres,2288673117,,False,0,"Monnickendam, Nederland",2,2,"October 17, 2025 at 11:03 PM"
Keir Starmer (UK PM),domain,1979321955682783436,https://x.com/cosmos98788/status/1979321955682783436,@Keir_Starmer,1614030823316983808,,False,0,United States,1,1,"October 17, 2025 at 11:01 PM"
Keir Starmer (UK PM),domain,1979321216348622860,https://x.com/Choch66/status/1979321216348622860,@Keir_Starmer,1527204879105769474,,False,0,Never you mind,2,3,"October 17, 2025 at 10:58 PM"
Keir Starmer (UK PM),domain,1979320613115494879,https://x.com/Choch66/status/1979320613115494879,@Keir_Starmer,1527204879105769474,,False,0,Never you mind,1,5,"October 17, 2025 at 10:56 PM"
Keir Starmer (UK PM),domain,1979315568026010047,https://x.com/Jack67cfc/status/1979315568026010047,@Keir_Starmer @ZelenskyyUa @SecGenNATO Resign.,1632058134553403400,,False,0,,3,38,"October 17, 2025 at 10:36 PM"
Keir Starmer (UK PM),domain,1979313300035833865,https://x.com/FfraidCara/status/1979313300035833865,@Keir_Starmer @Nigel_Farage,843635261661765632,,False,0,,0,4,"October 17, 2025 at 10:27 PM"
Keir Starmer (UK PM),domain,1979312438832173181,https://x.com/pizzalamahout/status/1979312438832173181,@Keir_Starmer,1628420541978648580,,False,0,,1,1,"October 17, 2025 at 10:23 PM"
Keir Starmer (UK PM),domain,1979310839816724929,https://x.com/BasedMillwall99/status/1979310839816724929,@MatthewStadlen @YouGov @DPJHodges @RobertJenrick @Keir_Starmer Yes,1970143614677430272,,False,0,Stalag Starmer ,2,313,"October 17, 2025 at 10:17 PM"
Keir Starmer (UK PM),domain,1979309103630733537,https://x.com/Berolblade/status/1979309103630733537,@Keir_Starmer,747536738080460800,,False,0,,0,1,"October 17, 2025 at 10:10 PM"
Keir Starmer (UK PM),domain,1979306759799083312,https://x.com/ehmatteh/status/1979306759799083312,@Keir_Starmer,578202043,,False,0,"London, England",1,16,"October 17, 2025 at 10:01 PM"
