rob_label,term,count
negative,digital id,82
negative,keir starmer,59
negative,far right,39
negative,gary neville,37
negative,prime minister,36
negative,no one,26
negative,middle age,22
negative,terrorist attack,22
negative,terror attack,18
negative,jewish community,17
negative,charlie kirk,17
negative,white men,17
negative,illegal migrant,15
negative,pro palestine,15
negative,social medium,14
negative,home secretary,14
negative,sadiq khan,13
negative,donald trump,13
negative,rape gang,13
negative,want live,12
neutral,digital id,97
neutral,keir starmer,55
neutral,prime minister,36
neutral,bharatjournal news,24
neutral,news bharat,24
neutral,bharat india,24
neutral,donald trump,22
neutral,gary neville,19
neutral,far right,19
neutral,stats number,17
neutral,number follower,17
neutral,follower not,17
neutral,not change,17
neutral,nigel farage,15
neutral,social medium,14
neutral,uk pm,14
neutral,president trump,14
neutral,israel hamas,12
neutral,pm keir,12
neutral,case no,12
positive,keir starmer,33
positive,prime minister,31
positive,donald trump,29
positive,india uk,23
positive,sadguruwhispers quote,23
positive,quote qotd,23
positive,uk pm,21
positive,pm keir,20
positive,president donald,18
positive,happy birthday,17
positive,shri ji,15
positive,narendra modi,14
positive,global fintech,13
positive,look forward,13
positive,fintech fest,12
positive,pm modi,11
positive,location tour,11
positive,president trump,10
positive,god bless,10
positive,peace prize,10
