rob_label,term,count
negative,not,537
negative,no,301
negative,get,272
negative,go,262
negative,uk,201
negative,one,185
negative,want,176
negative,attack,161
negative,starmer,149
negative,need,147
negative,right,145
negative,know,139
negative,labour,137
negative,see,135
negative,make,129
negative,call,128
negative,woman,121
negative,would,120
negative,day,116
negative,take,115
neutral,not,252
neutral,india,199
neutral,uk,137
neutral,no,136
neutral,new,124
neutral,one,124
neutral,digital,122
neutral,get,118
neutral,go,115
neutral,break,111
neutral,trump,110
neutral,id,109
neutral,make,107
neutral,starmer,100
neutral,take,96
neutral,know,95
neutral,need,91
neutral,first,86
neutral,israel,85
neutral,minister,84
positive,india,221
positive,new,120
positive,love,119
positive,one,110
positive,life,107
positive,day,106
positive,good,103
positive,make,101
positive,great,96
positive,uk,93
positive,see,93
positive,not,92
positive,world,85
positive,get,82
positive,first,76
positive,trump,73
positive,pm,71
positive,every,71
positive,come,67
positive,ai,65
