rob_label,term,count
negative,keir starmer,658
negative,tel aviv,189
negative,prime minister,171
negative,maccabi tel,127
negative,football fan,121
negative,aviv fan,96
negative,no one,80
negative,football hooligan,69
negative,football match,67
negative,maccabi fan,67
negative,aston villa,64
negative,digital id,63
negative,fan ban,63
negative,israeli football,56
negative,wrong decision,56
negative,far right,55
negative,anti semitic,53
negative,sir keir,51
negative,anti semitism,51
negative,british citizen,51
neutral,keir starmer,343
neutral,prime minister,73
neutral,tel aviv,50
neutral,digital id,45
neutral,maccabi tel,43
neutral,aston villa,36
neutral,sir keir,35
neutral,football match,25
neutral,minister keir,22
neutral,aviv fan,22
neutral,general election,21
neutral,plead not,19
neutral,not guilty,19
neutral,football fan,19
neutral,get britain,17
neutral,arson attack,16
neutral,united kingdom,15
neutral,maccabi fan,15
neutral,fan attend,15
neutral,jewish community,14
positive,keir starmer,40
positive,prime minister,12
positive,uk pm,6
positive,tel aviv,5
positive,jewish community,5
positive,make britain,4
positive,digital id,4
positive,sir keir,4
positive,keir starmer's,4
positive,tommy robinson,4
positive,aston villa,4
positive,show world,4
positive,no doubt,3
positive,let's get,3
positive,song keir,3
positive,good luck,3
positive,can't wait,3
positive,president trump,3
positive,welcome uk,3
positive,security deserve,3
