term,sentiment,agg,iwdf,agg_norm,iwdf_norm,fused_score
not,negative,1741.881974248002,1606.3840827348333,0.9999999999999994,0.9999999999999994,0.9999999999999994
no,negative,1126.7786968559274,1022.0832795973166,0.6468743080841485,0.636263326176167,0.6415688171301577
get,negative,1052.1251081705982,1000.0670847585369,0.6040163017501898,0.6225578898017616,0.6132870957759757
go,negative,1022.514850506073,960.0517685413442,0.5870172983146624,0.5976477100712283,0.5923325041929454
uk,negative,805.3190155802121,750.9072134120065,0.46232697018859764,0.46745185132412614,0.4648894107563619
want,negative,763.9003673783054,702.3839433072543,0.4385488676453483,0.43724533307841346,0.4378971003618809
one,negative,736.6454781648181,703.9695548953755,0.42290206170991534,0.4382324018654882,0.43056723178770173
attack,negative,739.7354033763417,695.6767670186013,0.4246759621562171,0.43307000766231857,0.42887298490926784
starmer,negative,666.4108497275165,651.3612101820557,0.3825809438180886,0.4054828587899896,0.3940319013040391
right,negative,653.6735020920506,637.882555838209,0.37526853814205835,0.3970921790710399,0.3861803586065491
need,negative,648.0506589688741,629.4836456005103,0.3720405105223317,0.3918637219866048,0.38195211625446823
labour,negative,649.2945248512941,626.2740648793063,0.37275460361291385,0.38986570622206873,0.3813101549174913
see,negative,582.9485606053728,565.9643605683941,0.33466593559362173,0.3523219425860172,0.34349393908981946
call,negative,581.9411334345573,560.7871833030881,0.33408758000713,0.3490990662384802,0.3415933231228051
know,negative,586.8137968075331,547.0103553517239,0.3368849356517795,0.3405227686397705,0.33870385214577503
woman,negative,576.4870241572856,533.7696302818046,0.3309564210894162,0.3322802037312728,0.3316183124103445
would,negative,558.0375517964255,535.256156445355,0.3203647319660328,0.3332055902434572,0.326785161104745
terrorist,negative,551.5710047223453,533.6159376033359,0.3166523409029862,0.3321845275601002,0.3244184342315432
child,negative,546.0004631408069,517.8479273895235,0.3134543391646978,0.3223686868883179,0.31791151302650783
police,negative,541.7739594860128,518.5687784462789,0.31102793845714194,0.3228174282973638,0.3169226833772529
not,neutral,804.9296634453796,725.572642411742,0.9999999999999988,0.9999999999999986,0.9999999999999987
india,neutral,783.1444653444554,714.956644526082,0.972935277341281,0.9853688007717955,0.9791520390565382
uk,neutral,564.3172596089903,531.7234862539073,0.7010764856068479,0.7328328759564344,0.7169546807816412
new,neutral,534.2349968901102,531.2412701534927,0.663703949738164,0.7321682752366337,0.6979361124873988
break,neutral,521.1656291415762,511.32061681089067,0.647467291627451,0.7047131974426483,0.6760902445350496
digital,neutral,542.0399256384028,488.55136770971706,0.6734003606206811,0.6733321230053727,0.6733662418130268
no,neutral,496.73638503520914,467.1239988784611,0.6171177527599164,0.6438004571475847,0.6304591049537506
trump,neutral,502.1676281545008,461.03544548799937,0.62386522818037,0.6354090804134456,0.6296371542969078
one,neutral,494.24957045691684,467.95664053738835,0.614028272161515,0.6449480219953435,0.6294881470784293
id,neutral,500.08282447987335,445.77511790545833,0.6212751836469088,0.614376964963479,0.617826074305194
go,neutral,458.93939081644345,447.7552365886101,0.5701608620708825,0.6171060076084305,0.5936334348396565
get,neutral,454.38084580508746,430.8589416548637,0.5644975784097439,0.5938191663659265,0.5791583723878352
digital id,neutral,458.90820363889696,419.2965930223199,0.5701221168500727,0.5778836859512962,0.5740029014006844
make,neutral,447.464051882572,426.7576419419587,0.5559045370091957,0.5881666658812437,0.5720356014452197
starmer,neutral,437.59570228864567,425.5559906522764,0.543644646434799,0.5865105239328812,0.5650775851838401
take,neutral,428.05458812590473,421.8334673061377,0.5317912950228239,0.5813800612768398,0.5565856781498318
know,neutral,420.5333088223436,412.49961223244753,0.5224472744889459,0.5685159391640418,0.5454816068264938
first,neutral,402.12855208283474,390.30097301853624,0.49958222481400905,0.5379212916865337,0.5187517582502714
need,neutral,393.93320756490135,366.08268751235346,0.4894007830183937,0.5045431237532952,0.49697195338584443
minister,neutral,394.3582405398028,358.3426586244857,0.48992882042862174,0.493875647562158,0.4919022339953899
india,positive,847.261465803413,702.9068134385637,0.9999999999999988,0.9999999999999986,0.9999999999999987
love,positive,574.4146333653288,554.0241752227935,0.6779661964452038,0.7881900767365604,0.7330781365908821
life,positive,500.7501965890593,484.7500476000012,0.5910220360537983,0.689636290803104,0.6403291634284511
new,positive,506.3563941827108,479.41285355315193,0.5976388808176935,0.682043258633249,0.6398410697254713
