term,sentiment,agg,iwdf,agg_norm,iwdf_norm,fused_score
not,negative,3817.3333106541395,3531.9985811534484,0.9999999999999998,0.9999999999999998,0.9999999999999998
starmer,negative,3045.5685019066063,2916.5346385062653,0.7978261928049233,0.8257462656040504,0.8117862292044868
keir,negative,2557.380336239331,2496.7745382428857,0.6699389673680596,0.7069013423633683,0.688420154865714
no,negative,2610.616162702966,2408.4421249949364,0.6838847829757914,0.6818921552931112,0.6828884691344512
uk,negative,2497.7974915123978,2309.556689426202,0.6543304679581081,0.6538951351084539,0.654112801533281
fan,negative,2541.0620379302263,2226.2226054423663,0.6656641773559953,0.6303011041174728,0.647982640736734
keir starmer,negative,2338.18538164853,2294.205441853357,0.6125180044201739,0.6495488005275856,0.6310334024738797
get,negative,2367.152355763588,2260.741111477602,0.6201062792072384,0.640074184497353,0.6300902318522956
ban,negative,2303.6211291245504,2078.818501987952,0.6034634499154596,0.588567196227205,0.5960153230713323
go,negative,2158.0701627176677,2061.477659002741,0.5653344853839498,0.5836575558106599,0.5744960205973049
football,negative,2085.180212840623,1869.0023473901585,0.5462400170875582,0.5291628250823918,0.537701421084975
police,negative,1815.8868190636688,1684.5555318571148,0.4756951178445818,0.47694116890244825,0.476318143373515
jew,negative,1765.002868551586,1641.4488656337498,0.4623654066637252,0.46473655861370694,0.4635509826387161
know,negative,1742.365023850237,1647.8515259179637,0.4564351294625788,0.46654931706677605,0.4614922232646774
israel,negative,1746.9168267477714,1614.3031202586214,0.45762753330240863,0.4570508971528059,0.45733921522760723
muslim,negative,1732.4412252171994,1591.1026361228073,0.4538354616249969,0.45048224102151224,0.45215885132325456
british,negative,1655.6008414140579,1582.660885905543,0.4337061258950828,0.44809216355593534,0.44089914472550906
want,negative,1635.853690990065,1547.7319053641954,0.4285331035737469,0.43820286724428714,0.433367985409017
racist,negative,1621.867705487565,1541.295654612774,0.42486929316885896,0.43638059846259364,0.4306249458157263
stop,negative,1600.1284789430754,1502.0729954719484,0.4191744206556793,0.42527565086999963,0.42222503576283943
starmer,neutral,1417.8136829915577,1339.5357421114372,0.9999999999999993,0.9999999999999993,0.9999999999999993
keir,neutral,1247.4421150377893,1211.146144361659,0.8798350093544811,0.9041536603215936,0.8919943348380374
keir starmer,neutral,1178.3974230459328,1165.469722280672,0.8311370084675285,0.8700549642995002,0.8505959863835144
not,neutral,1186.0617744961733,1078.5633251173283,0.8365427620881797,0.8051769663250993,0.8208598642066395
uk,neutral,777.8249568483901,733.4164754208397,0.5486087249540398,0.5475154207268816,0.5480620728404607
go,neutral,620.5051745327011,596.9386746392829,0.43764930609461145,0.44563101668221305,0.4416401613884122
know,neutral,593.2915836984248,555.901719586783,0.4184552531941936,0.4149958094515231,0.41672553132285833
get,neutral,577.0714273117186,538.7917624777538,0.4070149937431196,0.40222275937817475,0.4046188765606472
fan,neutral,580.9825684605989,519.4519412698854,0.4097735657584693,0.38778505488110476,0.39877931031978703
no,neutral,561.1064802719322,532.8093191319142,0.3957547363261502,0.3977567021034284,0.3967557192147893
trump,neutral,543.1851563329906,513.2427620240876,0.38311462419157977,0.3831497330672869,0.38313217862943333
without,neutral,525.4351174536886,504.044679780264,0.37059532134365564,0.37628311357020267,0.37343921745692915
right,neutral,516.5308546959499,481.791285009138,0.36431504427724243,0.35967034686936855,0.3619926955733055
ukraine,neutral,507.9626727624706,489.12727329473563,0.35827180881106996,0.36514686239260075,0.3617093356018354
would,neutral,497.89116229045237,455.55768341894304,0.35116825875168023,0.3400862471208659,0.34562725293627306
build,neutral,478.6033861397475,457.51009932719893,0.3375643724427203,0.3415437788961498,0.3395540756694351
let,neutral,460.2386229608738,447.58902955404506,0.3246114976050869,0.33413742947129915,0.329374463538193
need,neutral,432.7713170128071,413.69796780894194,0.3052384965700629,0.30883682667313683,0.30703766162159984
muslim,neutral,438.6016846316006,400.87520962055146,0.30935072068578134,0.2992642876319772,0.3043075041588793
ban,neutral,435.0540325794095,400.36504482730925,0.3068485216347004,0.2988834356866323,0.30286597866066634
great,positive,214.97544307383544,199.98928028751112,0.9999999999999953,0.999999999999995,0.9999999999999951
love,positive,207.05139128231943,199.16286673656575,0.9631397350403629,0.9958677107605053,0.9795037229004341
good,positive,190.8942537058826,177.58681579527573,0.8879816735175524,0.8879816735175518,0.8879816735175521
starmer,positive,165.57360267662244,161.35316893615038,0.7701977505391339,0.8068090884880579,0.7885034195135958
keir,positive,164.1625929232439,161.91793373818973,0.763634164795557,0.8096330638592749,0.786633614327416
keir starmer,positive,146.93601083194724,146.9360108319472,0.6835013745336482,0.7347194340651981,0.7091104042994232
well,positive,143.36424411239418,143.36424411239423,0.6668866083609077,0.716859643208318,0.6918731257846129
thank,positive,136.4255594684908,136.4255594684908,0.6346099699472812,0.6821643603715173,0.6583871651593993
uk,positive,118.80340986058594,116.35934465811398,0.5526371206025666,0.581827908430049,0.5672325145163077
go,positive,124.08069587357471,111.23080893899682,0.5771854408084992,0.5561838553500829,0.5666846480792911
get,positive,119.30811377441974,109.21454644819332,0.5549848488203447,0.5461020025232471,0.5505434256717959
make,positive,105.39807114679553,102.43950230509793,0.4902795856110646,0.5122249660473154,0.50125227582919
one,positive,102.70079195304385,96.86253187716922,0.47773266790183927,0.4843386192395712,0.4810356435707053
right,positive,99.71073284819387,93.80007318761979,0.4638238276078202,0.469025505030916,0.4664246663193681
see,positive,96.59912492981489,93.51255521577806,0.4493495794151545,0.46758783811482746,0.458468708764991
day,positive,96.67731233037686,93.09249026597867,0.44971328328497334,0.4654874007854091,0.45760034203519123
look,positive,97.68515185174228,91.04243529039017,0.4544014444393581,0.4552365764780199,0.454819010458689
let,positive,92.8958363225376,92.89583632253766,0.43212301365338357,0.46450407836353586,0.44831354600845974
britain,positive,90.6419519004673,90.6419519004673,0.4216386327871645,0.45323405219598284,0.4374363424915737
support,positive,87.1067717903185,80.87785437583538,0.4051940563294963,0.4044109477246097,0.40480250202705303
