Subject,Dataset,Tweet ID,URL,Content,Author ID,Author Username,Author Blue Verified (T/F),Followers,Author Location,Likes,Views,Date
NFL,domain,1979315551832019266,https://x.com/ThomasKenc8u/status/1979315551832019266,@NFL Yes,1977742572035465216,,False,0,,10,160,"October 17, 2025 at 10:36 PM"
NFL,domain,1979306572883931293,https://x.com/stephenRB4/status/1979306572883931293,@NFL Yes,1054273783127818240,,False,0,"Belfast, Northern Ireland",5,343,"October 17, 2025 at 10:00 PM"
NFL,domain,1979306259099595106,https://x.com/LongShotWinApp/status/1979306259099595106,"#CollegeFootball #NFL #Underdogs
The real treasure? Hidden in details most just scroll past.",1722728869885542400,,False,0,"Indianapolis, Indiana",1,15,"October 17, 2025 at 09:59 PM"
NFL,domain,1979298518440263714,https://x.com/L0calDelinquenc/status/1979298518440263714,@mcduffieclamps @NFL 40-6,1386879809637203971,,False,0,"St Petersburg, FL",2,118,"October 17, 2025 at 09:28 PM"
NFL,domain,1979295138003439750,https://x.com/Zach_Segars/status/1979295138003439750,"The Giants have won one playoff game since the invention of the Nintendo Wii U lmao

The Giants are 42-95-1 since Obama left office, which makes them 1.5 games better than the Jets, who are the worst team in the NFL over that span

What’re we talking about right now?",905829787264065536,,False,0,"Boulder, CO",552,40743,"October 17, 2025 at 09:15 PM"
NFL,domain,1979293433954005185,https://x.com/Smith7512613538/status/1979293433954005185,@TeejDat @NFL @Nike 🤣🤣🤣,1915769667966369792,,False,0,,0,30,"October 17, 2025 at 09:08 PM"
NFL,domain,1979293023230931276,https://x.com/YAYEETUS18/status/1979293023230931276,Patrick Mahomes is the Best QB in the NFL,1489030124246814722,,False,0,,19,567,"October 17, 2025 at 09:06 PM"
NFL,domain,1979290359344828557,https://x.com/jjhancock24/status/1979290359344828557,@SNFonNBC @NFL @AtlantaFalcons @49ers Falcons,761252506836013056,,False,0,"Florida, USA",1,19,"October 17, 2025 at 08:56 PM"
NFL,domain,1979288069363941504,https://x.com/Reg31miller1/status/1979288069363941504,"@nfl @NFLPA @nflnetwork @NFLonFOX @NFLonCBS @NFLonPrime @ESPNNFL @KirkHerbstreit @steelers 

If Eagles tush push not called for this same thing I am done with your rigged sport.  I can get wanting things called a certain way but I will not tolerate rules for thee but not for me.",811363826516029442,,False,0,"Wilson, NC",0,42,"October 17, 2025 at 08:47 PM"
NFL,domain,1979287851004232098,https://x.com/Reg31miller1/status/1979287851004232098,"@nfl @NFLPA @nflnetwork @NFLonFOX @NFLonCBS @NFLonPrime @ESPNNFL @KirkHerbstreit @steelers 

If Eagles tush push not called for this same thing I am done with your rigged sport.  I can get wanting things called a certain way but I will not tolerate rules for thee but not for me.",811363826516029442,,False,0,"Wilson, NC",0,42,"October 17, 2025 at 08:46 PM"
NFL,domain,1979286557866758645,https://x.com/IllustratorDad/status/1979286557866758645,@brgridiron @NFL Int,17090246,,False,0,"Columbus, OH",0,5,"October 17, 2025 at 08:41 PM"
NFL,domain,1979278532749726183,https://x.com/pats300levelpod/status/1979278532749726183,"@DanWetzel It’s year 1 inheriting a talent deprived roster. Building a team correctly takes time. He went 5-11 year one in NE. Saban went 7-6 year 1 in Bama losing to Louisiana Monroe. The talent gap between #1 and #32 in NFL is less than #1 and #15 in college, let alone &lt;#50. It takes time",1428065025168748545,,False,0,,13,1126,"October 17, 2025 at 08:09 PM"
NFL,domain,1979273674340630819,https://x.com/Betitjon/status/1979273674340630819,Posted CFB for tonight if tailing go light actually might release Rush Yards/ Rush Attempts and Pass Yards/ Pass Attempts for NFL this afternoon or tonight then post CFB ill be sure to make a post with links incase they get cluttered,1206713742769229824,,False,0,,5,3055,"October 17, 2025 at 07:49 PM"
NFL,domain,1979272066235842996,https://x.com/picks4dayzzz/status/1979272066235842996,"💥🚨 FREE VIP WEEKEND 🚨💥

Get all of my Bets for FREE ✅

605-527 (+154U) 2025 🔥🔥🔥

7 NCAAF, 5 NFL, 2 MLB Posted 🧠 

LOCK IN RIGHT HERE ⬇️⬇️⬇️

https://t.co/DidsGSK8b1",1234932766946549760,,False,0,🚨Get All my Plays Here 👉,10,2020,"October 17, 2025 at 07:43 PM"
NFL,domain,1979270129251946660,https://x.com/MasonMLFC/status/1979270129251946660,@captaincaleb18 @verysadvikings https://t.co/3oSYSir7w3,1401937307687698433,,False,0,United Kingdom,1,112,"October 17, 2025 at 07:35 PM"
NFL,domain,1979269481193943549,https://x.com/StamXv/status/1979269481193943549,😢,2595712334,,False,0,Kingdom of Saudi Arabia,0,662,"October 17, 2025 at 07:33 PM"
NFL,domain,1979268905005978035,https://x.com/LunareProd13/status/1979268905005978035,@brgridiron @NFL Catch,1711763822380449792,,False,0,"California, USA",0,10,"October 17, 2025 at 07:30 PM"
NFL,domain,1979267207818305857,https://x.com/bickham_tyron2/status/1979267207818305857,@brgridiron @NFL Int,1662062387648770049,,False,0,,0,7,"October 17, 2025 at 07:24 PM"
NFL,domain,1979261107664539993,https://x.com/NoblezaFrank/status/1979261107664539993,"@SNYGiants What a bunch of CLOWNS in the media ..

As a Broncos fan I fear NO TEAM.  We have the right coach and great owners now. Broncos are an ascending team.

However ANY team can beat any other team on Sunday in the NFL. It’s who executes better that day.

Regardless , most Broncos fans I know care little about useless pregame NOISE and have no need to engage into stupid  high school antics with other teams fans. 

However there are morons in every fanbase so yes it does go on both sides.

Most of us fans care only about the progress of the team we root for. We are harder on the coaching staff of our own team than anything else.",1475196020376195076,,False,0,,0,340,"October 17, 2025 at 06:59 PM"
NFL,domain,1979258691661512916,https://x.com/jorgeespinos1/status/1979258691661512916,@SNFonNBC @NFL @AtlantaFalcons @49ers #FTTB,2883625490,,False,0,,2,23,"October 17, 2025 at 06:50 PM"
NFL,domain,1979257359529648630,https://x.com/OnlyOneFive_/status/1979257359529648630,@NFL NOOOOOO,1912679848125890561,,False,0,,1,80,"October 17, 2025 at 06:45 PM"
NFL,domain,1979256274786357714,https://x.com/MikeZim805/status/1979256274786357714,@brgridiron @NFL Int,811042757540052993,,False,0,Southern Cal,0,10,"October 17, 2025 at 06:40 PM"
NFL,domain,1979248247429280094,https://x.com/tanyatdkt/status/1979248247429280094,@NFL_Talk_Sports No,1113590518624202752,,False,0,erehwon,0,7,"October 17, 2025 at 06:08 PM"
NFL,domain,1979248115791057076,https://x.com/StolenCurtain7/status/1979248115791057076,@Swervin32_NFL Defense,1505741535488393219,,False,0,,0,16,"October 17, 2025 at 06:08 PM"
NFL,domain,1979247116015771665,https://x.com/maccoolm/status/1979247116015771665,@brgridiron @NFL Int,2548680800,,False,0,"Winnipeg, Manitoba",0,12,"October 17, 2025 at 06:04 PM"
NFL,domain,1979246951808802926,https://x.com/RickGrove3939/status/1979246951808802926,@brgridiron @NFL INT,1637643359232598018,,False,0,,0,18,"October 17, 2025 at 06:03 PM"
