rob_label,term,count
negative,charlie kirk,45
negative,lamar jackson,33
negative,derrick henry,31
negative,zach orr,29
negative,no one,28
negative,not even,26
negative,jalen hurt,26
negative,not good,26
negative,ever see,21
negative,russell wilson,21
negative,lose game,21
negative,no way,20
negative,super bowl,20
negative,play call,19
negative,john harbaugh,18
negative,run ball,18
negative,raven defense,17
negative,win game,17
negative,not go,16
negative,field goal,16
neutral,lamar jackson,49
neutral,derrick henry,48
neutral,sunday sep,40
neutral,jalen hurt,39
neutral,home team,38
neutral,charlie kirk,33
neutral,st brown,32
neutral,david montgomery,30
neutral,sep 00pm,29
neutral,espn abc,27
neutral,anytime td,27
neutral,jahmyr gibbs,26
neutral,ben johnson,26
neutral,monday night,25
neutral,super bowl,24
neutral,nfl week,24
neutral,stream espn,23
neutral,abc stream,22
neutral,espn app,22
neutral,amon ra,22
positive,let go,33
positive,lamar jackson,31
positive,dan campbell,30
positive,good morning,30
positive,free spin,29
positive,jar goff,27
positive,detroit lion,26
positive,mobile app,26
positive,monday night,23
positive,super bowl,22
positive,jalen hurt,21
positive,david montgomery,20
positive,get ready,20
positive,amon ra,19
positive,night football,19
positive,caleb williams,18
positive,drop tail,18
positive,bonus cad,18
positive,gamblingtwitter nfl,17
positive,cad free,17
