rob_label,term,count
negative,get,548
negative,not,472
negative,game,454
negative,nfl,357
negative,go,334
negative,team,303
negative,no,276
negative,bad,273
negative,play,272
negative,fuck,267
negative,shit,205
negative,make,205
negative,one,203
negative,lose,186
negative,man,182
negative,good,175
negative,win,175
negative,raven,168
negative,call,167
negative,need,164
neutral,game,456
neutral,get,402
neutral,week,307
neutral,nfl,305
neutral,go,292
neutral,yard,252
neutral,play,246
neutral,not,231
neutral,win,215
neutral,team,205
neutral,lion,199
neutral,one,183
neutral,raven,182
neutral,first,177
neutral,season,177
neutral,make,161
neutral,back,155
neutral,take,153
neutral,run,150
neutral,day,145
positive,game,381
positive,nfl,372
positive,get,359
positive,win,352
positive,go,305
positive,good,272
positive,play,252
positive,best,207
positive,one,189
positive,love,186
positive,back,185
positive,great,185
positive,lion,181
positive,team,176
positive,make,157
positive,season,146
positive,first,143
positive,day,140
positive,come,137
positive,week,136
