rob_label,term,count
negative,nfl team,103
negative,nfl film,102
negative,nfl player,96
negative,brian branch,68
negative,team nfl,66
negative,nfl game,64
negative,nfl history,63
negative,super bowl,53
negative,last night,53
negative,lion fan,50
negative,no one,45
negative,watch nfl,39
negative,not even,38
negative,nfl fan,38
negative,hit piece,37
negative,defense nfl,36
negative,one bad,36
negative,nfl not,35
negative,bad team,34
negative,bad nfl,34
neutral,nfl week,230
neutral,nfl team,103
neutral,nfl player,101
neutral,week nfl,99
neutral,joe flacco,91
neutral,nfl game,90
neutral,nfl film,80
neutral,injury report,77
neutral,super bowl,76
neutral,nfl sunday,71
neutral,new york,61
neutral,nfl draft,60
neutral,last week,57
neutral,aaron rodgers,56
neutral,best bet,56
neutral,puka nacua,56
neutral,player prop,54
neutral,nfl nba,49
neutral,nfl history,48
neutral,former nfl,48
positive,last night,50
positive,nfl week,48
positive,nfl history,46
positive,joe flacco,41
positive,super bowl,36
positive,nfl sunday,35
positive,nfl game,35
positive,one best,30
positive,nfl team,30
positive,best bet,29
positive,team nfl,26
positive,nfl player,26
positive,college football,25
positive,per game,24
positive,nfl season,24
positive,cfb nfl,23
positive,nfl nba,22
positive,best nfl,22
positive,qb nfl,21
positive,week nfl,21
