rob_label,term,count
negative,nfl,2783
negative,not,746
negative,game,706
negative,get,658
negative,team,613
negative,bad,471
negative,play,451
negative,no,419
negative,player,407
negative,go,391
negative,one,363
negative,fan,362
negative,make,331
negative,know,278
negative,call,269
negative,good,254
negative,win,245
negative,defense,242
negative,see,241
negative,would,229
neutral,nfl,4011
neutral,week,1065
neutral,game,1063
neutral,play,711
neutral,not,664
neutral,team,653
neutral,get,609
neutral,player,466
neutral,go,433
neutral,yard,426
neutral,pick,386
neutral,make,382
neutral,sunday,376
neutral,football,356
neutral,season,345
neutral,no,330
neutral,back,328
neutral,one,324
neutral,win,317
neutral,last,299
positive,nfl,1490
positive,game,441
positive,get,322
positive,best,317
positive,week,288
positive,play,285
positive,good,256
positive,team,225
positive,win,210
positive,one,204
positive,go,199
positive,great,186
positive,season,173
positive,love,167
positive,back,164
positive,make,159
positive,last,152
positive,see,144
positive,football,143
positive,sunday,141
