term,sentiment,agg,iwdf,agg_norm,iwdf_norm,fused_score
nfl,negative,4157.555417529276,3977.1885525177604,0.9999999999999998,0.9999999999999998,0.9999999999999998
not,negative,2317.5872477437715,2112.8190159163846,0.5574398931574678,0.5312343098691822,0.5443371015133249
get,negative,2036.8435725485936,1869.1022611838796,0.48991375171110396,0.4699556574959574,0.4799347046035307
game,negative,2018.436623891153,1789.9289872011855,0.4854864027502621,0.4500488130159356,0.46776760788309885
bad,negative,1908.3485164299484,1756.7244985190773,0.4590073552318464,0.44170007916948817,0.4503537172006673
team,negative,1917.7392440467625,1689.8177948197058,0.46126606898878647,0.42487746620661615,0.4430717675977013
no,negative,1557.830357398066,1462.2607466045035,0.3746986392123289,0.36766191174889573,0.3711802754806123
player,negative,1451.8147171484197,1347.7878295987002,0.34919912577165213,0.33887954061053566,0.3440393331910939
play,negative,1433.268121019324,1272.2225521218097,0.34473818796889943,0.3198798687370325,0.33230902835296594
go,negative,1392.1245154194087,1309.5078313588153,0.3348420828138259,0.3292546516382359,0.3320483672260309
fan,negative,1397.337548159061,1262.4870860885414,0.336095952507943,0.31743204261445523,0.3267639975611991
one,negative,1313.8250314680731,1215.3560078942696,0.31600902442061585,0.3055816921540941,0.31079535828735494
make,negative,1219.41382846347,1160.4325708606168,0.2933006793660816,0.2917720785769647,0.2925363789715232
know,negative,1132.2819655649805,1061.960394799877,0.2723432045646345,0.267012836021466,0.26967802029305027
call,negative,1127.2268230406385,991.9449235002802,0.27112731156582365,0.24940857351918327,0.26026794254250346
see,negative,980.8372494670721,952.3828742891756,0.23591681913165144,0.23946133348047305,0.23768907630606223
never,negative,981.6572702292033,946.2891609026556,0.23611405541109434,0.2379291674023367,0.23702161140671552
good,negative,977.7112155896746,924.5201115726074,0.23516492683835394,0.2324556905875985,0.2338103087129762
defense,negative,993.4038461330863,897.9252790908704,0.23893941183433204,0.2257688483294156,0.23235413008187383
would,negative,955.0714233476808,903.6041286483262,0.2297194691190079,0.22719670358004504,0.22845808634952647
nfl,neutral,5928.774167814455,5588.374311407387,0.9999999999999999,0.9999999999999999,0.9999999999999999
week,neutral,3293.342192844218,2911.1807411900822,0.5554845065144814,0.5209351734452671,0.5382098399798743
game,neutral,2794.5537720461457,2335.0850239122065,0.47135439686958286,0.41784692538323076,0.44460066112640684
play,neutral,2234.8124851196417,1994.3860167214577,0.37694343246396045,0.356881251252332,0.36691234185814625
