topic_id,rank,score,doc_idx,preview,sentiment
0,1,0.9886219468862786,8145,"The LEFT (started way back Obama, Hillary) had and IS united with EVERY ENEMY of The United States of America including and especially ISLAM to destroy the cult",negative
0,2,0.9868590419449441,4967,"Risk doesn’t exist without threat.

Markets don’t just test your strategy—they hijack your nervous system.

Cortisol + adrenaline spike, focus narrows, decision",negative
0,3,0.9840816994598816,11476,"🎬 Toronto, 7 days to fight night — Sept 26!
Rebel Arena. The lights, the noise, the fight — MMA 63 x 247iBET

🌟 Get ready to claim your live-night rewards:
💸 FR",positive
1,1,0.9693830108732766,9536,"Simple 

Trade Ridley for a 3rd 
Trade Simmons for a 2nd and 3rd
Get the #1 pick again and TRADE BACK a few spots
Now we have *checks notes*
A early-mid 1sts (p",neutral
1,2,0.9692405901332148,4424,"However if it did turned out they could've traded them without a 1st round pick or taking on even worse salary, then this would make Rob look even worse than he",negative
1,3,0.9684203975890633,184,"You know what, I think the start to this year just puts things in perspective. Football is not my life. Clemson football is not my life. Life is so much bigger ",negative
2,1,0.9928962392624363,1635,"🚨🚨Update on SolCex 🚨🚨

📲Tomorrow @SolCex_Exchange will release its highly anticipated Mobile App!

👑VIP $SolCex holders will be the first to try it out. The ful",positive
2,2,0.9916408968314712,1633,"🚨🚨Update on $SolCex🚨🚨

 📲 @SolCex_Exchange is almost ready  to launch their mobile app!

👑VIP will have access to the mobile app this month with the Full public",positive
2,3,0.9904218224770853,4609,"We got Refs🦓

See thread below for breakdown⬇️

Cowboys at Eagles | Thursday, Sep. 4 (8:20pm)
Shawn Smith

Chiefs at Chargers | Friday, Sep. 5 (8:00pm)
Carl Che",neutral
3,1,0.9940983834651247,4626,"The most biased MLB umpires tonight (August 29th)🔒

Drop a ❤️ and I'll share my favorite bet from these games!

⭐️ Atlanta Braves vs Philadelphia Phillies
First",neutral
3,2,0.9933897021669853,4629,"The most biased MLB umpires tonight🔒

Get this to 2 ❤️'s and I'll share my favorite bet from these games!

⭐️ Boston Red Sox vs Baltimore Orioles
First Pitch: 6",neutral
3,3,0.9851437769312469,11482,"🎉【X Spin Special Offer】🎉
Want an exclusive promo code? 
Here’s how you can get it for free!

📅 Event period: June 1 – June 31

✅ Steps to join:
1️⃣ Follow our o",positive
